Site,Site Name,Date,Rainfall (mm)
FP35,Lower Wraxall Farm,01/12/2005 23:00,0
FP35,Lower Wraxall Farm,01/12/2005 23:15,0
FP35,Lower Wraxall Farm,01/12/2005 23:30,0
FP35,Lower Wraxall Farm,01/12/2005 23:45,0
FP35,Lower Wraxall Farm,02/12/2005 00:00,0.2
FP35,Lower Wraxall Farm,02/12/2005 00:15,0
FP35,Lower Wraxall Farm,02/12/2005 00:30,0
FP35,Lower Wraxall Farm,02/12/2005 00:45,0.2
PL16,Highfield Farm,01/12/2005 23:00,0.4
PL16,Highfield Farm,01/12/2005 23:15,0.4
PL16,Highfield Farm,01/12/2005 23:30,0.4
PL16,Highfield Farm,01/12/2005 23:45,0.6
PL16,Highfield Farm,02/12/2005 00:00,0.2
PL16,Highfield Farm,02/12/2005 00:15,0.4
PL16,Highfield Farm,02/12/2005 00:30,0.8
PL16,Highfield Farm,02/12/2005 00:45,0.6
